Region,Property_Type,Average_Price,Sales_Volume,Year,Mortgage_Rate,Deposit_Percent,Energy_Rating,New_Build,Buyer_Type,Affordability_Index,Monthly_Mortgage_cost,Total Interest Paid,25-Year total cost,Loan Amount,Investment_Score,,,Investment_Score_1
North East,Semi Detached,268000,1590,2023,6.6,12,C,No,Upsizer,168.55,"£1,607.18","£246,313.02","£482,153.02",235840,636.6017799,,2,636.6197761
North East,Semi Detached,290000,1720,2023,6.5,12,C,No,Upsizer,168.60,"£1,723.13","£261,738.60","£516,938.60",255200,688.6017793,,2,688.6197701
East Midlands,Semi Detached,380000,2250,2024,5.3,18,B,No,Upsizer,168.89,"£1,876.46","£251,337.68","£562,937.68",311600,900.9017763,,3,900.9197368
London,Flat,490000,2900,2024,5,12,C,No,First Timer,168.97,"£2,520.75","£325,025.68","£756,225.68",431200,1160.601776,,2,1160.619728
London,Flat,500000,2950,2024,5,10,C,No,First Timer,169.49,"£2,630.66","£339,196.56","£789,196.56",450000,1180.60177,,2,1180.619667
North East,Semi Detached,285000,1680,2024,5.4,12,C,No,Upsizer,169.64,"£1,525.19","£206,756.95","£457,556.95",250800,672.6017684,,2,672.6196491
London,Flat,436000,2570,2024,5.1,10,C,No,First Timer,169.65,"£2,316.85","£302,655.46","£695,055.46",392400,1028.601768,,2,1028.619648
North East,Semi Detached,280000,1650,2023,6.5,12,C,No,Upsizer,169.70,"£1,663.71","£252,713.13","£499,113.13",246400,660.6017679,,2,660.6196429
London,Flat,510000,3000,2023,6,10,C,No,First Timer,170.00,"£2,957.34","£428,203.03","£887,203.03",459000,1200.601765,,2,1200.619608
London,Flat,460000,2700,2023,6,10,C,No,First Timer,170.37,"£2,667.41","£386,222.34","£800,222.34",414000,1080.601761,,2,1080.619565
East Midlands,Semi Detached,378000,2200,2024,5.3,18,B,No,Upsizer,171.82,"£1,866.58","£250,014.85","£559,974.85",309960,880.901746,,3,880.9194004
London,Flat,470000,2720,2024,5,10,C,No,First Timer,172.79,"£2,472.82","£318,844.76","£741,844.76",423000,1088.601736,,2,1088.619291
East Midlands,Semi Detached,375000,2150,2024,5.3,18,B,No,Upsizer,174.42,"£1,851.77","£248,030.60","£555,530.60",307500,860.90172,,3,860.9191111
London,Flat,470000,2680,2024,5,12,C,No,First Timer,175.37,"£2,417.86","£311,759.32","£725,359.32",413600,1072.601711,,2,1072.619007
South West,Semi Detached,430000,2450,2024,5.2,15,B,No,Upsizer,175.51,"£2,179.48","£288,344.62","£653,844.62",365500,980.9017093,,3,980.9189922
South West,Semi Detached,432000,2460,2024,5.2,15,B,No,Upsizer,175.61,"£2,189.62","£289,685.75","£656,885.75",367200,984.9017083,,3,984.9189815
South West,Semi Detached,425000,2400,2024,5.2,15,B,No,Upsizer,177.08,"£2,154.14","£284,991.77","£646,241.77",361250,960.9016941,,3,960.9188235
East Midlands,Flat,400000,2250,2024,5.4,8,D,No,First Timer,177.78,"£2,237.92","£303,375.43","£671,375.43",368000,900.3016875,,1,900.31875
South West,Semi Detached,420000,2350,2024,5.2,15,B,No,Upsizer,178.72,"£2,128.80","£281,638.93","£638,638.93",357000,940.9016786,,3,940.9186508
North East,Flat,394000,2200,2023,6.4,5,D,No,First Timer,179.09,"£2,503.96","£376,888.52","£751,188.52",374300,880.3016751,,1,880.3186125
South West,Semi Detached,415000,2300,2024,5.2,15,B,No,Upsizer,180.43,"£2,103.45","£278,286.08","£631,036.08",352750,920.9016627,,3,920.9184739
South West,Terraced,318000,1760,2023,6.4,21,C,No,First Timer,180.68,"£1,680.59","£252,957.34","£504,177.34",251220,704.6016604,,2,704.6184486
South West,Terraced,318000,1760,2023,6.4,10,C,No,First Timer,180.68,"£1,914.60","£288,179.25","£574,379.25",286200,704.6016604,,2,704.6184486
South East,Semi Detached,510000,2800,2024,5.3,15,B,No,Upsizer,182.14,"£2,610.54","£349,662.66","£783,162.66",433500,1120.901647,,3,1120.918301
South East,Semi Detached,512000,2810,2024,5.3,15,B,No,Upsizer,182.21,"£2,620.78","£351,033.88","£786,233.88",435200,1124.901646,,3,1124.918294
East Midlands,Semi Detached,365000,2000,2024,5.3,18,B,No,Upsizer,182.50,"£1,802.39","£241,416.45","£540,716.45",299300,800.9016438,,3,800.9182648
London,Flat,490000,2680,2024,5,12,C,No,First Timer,182.84,"£2,520.75","£325,025.68","£756,225.68",431200,1072.601641,,2,1072.618231
South West,Semi Detached,412000,2250,2024,5.2,15,B,No,Upsizer,183.11,"£2,088.25","£276,274.38","£626,474.38",350200,900.9016383,,3,900.9182039
South East,Semi Detached,505000,2750,2024,5.3,15,B,No,Upsizer,183.64,"£2,584.95","£346,234.59","£775,484.59",429250,1100.901634,,3,1100.918152
East Midlands,Semi Detached,360000,1950,2024,5.3,18,B,No,Upsizer,184.62,"£1,777.70","£238,109.38","£533,309.38",295200,780.901625,,3,780.9180556
London,Flat,495000,2680,2024,5,12,C,No,First Timer,184.70,"£2,546.47","£328,342.27","£763,942.27",435600,1072.601624,,2,1072.618047
South East,Semi Detached,500000,2700,2024,5.3,15,B,No,Upsizer,185.19,"£2,559.36","£342,806.53","£767,806.53",425000,1080.90162,,3,1080.918
South East,Semi Detached,482000,2600,2024,5.3,15,B,No,Upsizer,185.38,"£2,467.22","£330,465.49","£740,165.49",409700,1040.901618,,3,1040.917981
South West,Semi Detached,410000,2200,2024,5.2,15,B,No,Upsizer,186.36,"£2,078.11","£274,933.24","£623,433.24",348500,880.9016098,,3,880.9178862
East Midlands,Flat,420000,2250,2024,5.4,8,D,No,First Timer,186.67,"£2,349.81","£318,544.20","£704,944.20",386400,900.3016071,,1,900.3178571
East Midlands,Semi Detached,355000,1900,2024,5.3,18,B,No,Upsizer,186.84,"£1,753.01","£234,802.30","£525,902.30",291100,760.9016056,,3,760.9178404
South East,Semi Detached,480000,2550,2024,5.3,15,B,No,Upsizer,188.24,"£2,456.98","£329,094.26","£737,094.26",408000,1020.901594,,3,1020.917708
East Midlands,Semi Detached,350000,1850,2024,5.3,18,D,No,Upsizer,189.19,"£1,728.32","£231,495.23","£518,495.23",287000,740.3015857,,1,740.317619
South West,Semi Detached,408000,2150,2024,5.2,15,B,No,Upsizer,189.77,"£2,067.97","£273,592.10","£620,392.10",346800,860.9015809,,3,860.9175654
South East,Semi Detached,478000,2500,2024,5.3,15,B,No,Upsizer,191.20,"£2,446.74","£327,723.04","£734,023.04",406300,1000.901569,,3,1000.917434
East Midlands,Semi Detached,345000,1800,2024,5.3,18,B,No,Upsizer,191.67,"£1,703.63","£228,188.16","£511,088.16",282900,720.9015652,,3,720.9173913
South West,Semi Detached,405000,2100,2024,5.2,15,B,No,Upsizer,192.86,"£2,052.77","£271,580.39","£615,830.39",344250,840.9015556,,3,840.917284
South East,Semi Detached,475000,2450,2024,5.3,15,B,No,Upsizer,193.88,"£2,431.39","£325,666.20","£729,416.20",403750,980.9015474,,3,980.917193
East Midlands,Semi Detached,360000,1850,2024,5.4,14,C,No,Upsizer,194.59,"£1,882.77","£255,231.07","£564,831.07",309600,740.6015417,,2,740.6171296
West Midlands,Semi Detached,370000,1900,2023,6.1,18,B,No,Upsizer,194.74,"£1,973.40","£288,619.58","£592,019.58",303400,760.9015405,,3,760.9171171
West Midlands,Semi Detached,355000,1780,2023,6.1,18,B,No,Upsizer,199.44,"£1,893.40","£276,918.78","£568,018.78",291100,712.9015042,,3,712.9167136
East Midlands,Semi Detached,340000,1700,2023,6.1,14,C,No,Upsizer,200.00,"£1,901.85","£278,155.45","£570,555.45",292400,680.6015,,2,680.6166667
South East,Semi Detached,470000,2350,2023,6,15,B,No,Upsizer,200.00,"£2,573.98","£372,695.23","£772,195.23",399500,940.9015,,3,940.9166667
South West,Semi Detached,420000,2100,2024,5.2,15,B,No,Upsizer,200.00,"£2,128.80","£281,638.93","£638,638.93",357000,840.9015,,3,840.9166667
South East,Semi Detached,480000,2400,2024,5.3,15,B,No,Upsizer,200.00,"£2,456.98","£329,094.26","£737,094.26",408000,960.9015,,3,960.9166667
South West,Semi Detached,430000,2150,2024,5.2,15,B,No,Upsizer,200.00,"£2,179.48","£288,344.62","£653,844.62",365500,860.9015,,3,860.9166667
South East,Semi Detached,490000,2450,2024,5.3,15,B,No,Upsizer,200.00,"£2,508.17","£335,950.39","£752,450.39",416500,980.9015,,3,980.9166667
South West,Detached,290000,1450,2024,5.1,20,B,Yes,Investor,200.00,"£1,369.80","£178,940.03","£410,940.03",232000,580.9015,,3,580.9166667
South East,Semi Detached,460000,2280,2024,5.3,15,B,No,Upsizer,201.75,"£2,354.61","£315,382.00","£706,382.00",391000,912.901487,,3,912.9165217
South East,Semi Detached,440000,2180,2023,6,15,B,No,Upsizer,201.83,"£2,409.69","£348,906.17","£722,906.17",374000,872.9014864,,3,872.9165152
South West,Semi Detached,400000,1980,2024,5.2,15,B,No,Upsizer,202.02,"£2,027.43","£268,227.55","£608,227.55",340000,792.901485,,3,792.9165
East of England,Semi Detached,465000,2300,2024,5.2,15,B,No,Upsizer,202.17,"£2,356.88","£311,814.53","£707,064.53",395250,920.9014839,,3,920.9164875
South East,Semi Detached,465000,2300,2024,5.3,15,B,No,Upsizer,202.17,"£2,380.20","£318,810.07","£714,060.07",395250,920.9014839,,3,920.9164875
South East,Semi Detached,455000,2250,2023,6,15,B,No,Upsizer,202.22,"£2,491.84","£360,800.70","£747,550.70",386750,900.9014835,,3,900.9164835
West Midlands,Semi Detached,338000,1670,2024,5.3,18,B,No,Upsizer,202.40,"£1,669.06","£223,558.25","£500,718.25",277160,668.9014822,,3,668.9164694
South West,Semi Detached,405000,2000,2023,6.1,15,B,No,Upsizer,202.50,"£2,239.10","£327,479.53","£671,729.53",344250,800.9014815,,3,800.9164609
South West,Semi Detached,395000,1950,2024,5.2,15,B,No,Upsizer,202.56,"£2,002.08","£264,874.70","£600,624.70",335750,780.901481,,3,780.9164557
West Midlands,Semi Detached,345000,1700,2024,5.3,18,B,No,Upsizer,202.94,"£1,703.63","£228,188.16","£511,088.16",282900,680.9014783,,3,680.9164251
East Midlands,Semi Detached,330000,1620,2024,5.4,14,C,No,Upsizer,203.70,"£1,725.87","£233,961.81","£517,761.81",283800,648.6014727,,2,648.6163636
South East,Semi Detached,438000,2150,2024,5.3,15,B,No,Upsizer,203.72,"£2,242.00","£300,298.52","£672,598.52",372300,860.9014726,,3,860.9163623
South East,Semi Detached,432000,2120,2023,6.1,15,B,No,Upsizer,203.77,"£2,388.37","£349,311.50","£716,511.50",367200,848.9014722,,3,848.916358
East Midlands,Semi Detached,322000,1580,2024,5.4,14,C,No,Upsizer,203.80,"£1,684.03","£228,290.01","£505,210.01",276920,632.601472,,2,632.6163561
East of England,Semi Detached,470000,2300,2024,5.2,15,B,No,Upsizer,204.35,"£2,382.22","£315,167.37","£714,667.37",399500,920.9014681,,3,920.9163121
South East,Semi Detached,460000,2250,2024,5.3,15,B,No,Upsizer,204.44,"£2,354.61","£315,382.00","£706,382.00",391000,900.9014674,,3,900.9163043
South East,Semi Detached,450000,2200,2024,5.3,15,B,No,Upsizer,204.55,"£2,303.42","£308,525.87","£691,025.87",382500,880.9014667,,3,880.9162963
South West,Semi Detached,385000,1880,2023,6.1,15,B,No,Upsizer,204.79,"£2,128.53","£311,307.70","£638,557.70",327250,752.9014649,,3,752.9162771
South West,Semi Detached,390000,1900,2024,5.2,15,B,No,Upsizer,205.26,"£1,976.74","£261,521.86","£593,021.86",331500,760.9014615,,3,760.9162393
South West,Semi Detached,380000,1850,2024,5.2,15,B,No,Upsizer,205.41,"£1,926.05","£254,816.17","£577,816.17",323000,740.9014605,,3,740.9162281
East of England,Semi Detached,455000,2200,2024,5.2,15,B,No,Upsizer,206.82,"£2,306.20","£305,108.84","£691,858.84",386750,880.9014505,,3,880.9161172
South East,Semi Detached,455000,2200,2024,5.3,15,B,No,Upsizer,206.82,"£2,329.01","£311,953.94","£698,703.94",386750,880.9014505,,3,880.9161172
South East,Semi Detached,440000,2120,2023,6.1,15,B,No,Upsizer,207.55,"£2,432.60","£355,780.23","£729,780.23",374000,848.9014455,,3,848.9160606
South East,Semi Detached,430000,2070,2024,5.3,15,B,No,Upsizer,207.73,"£2,201.05","£294,813.61","£660,313.61",365500,828.9014442,,3,828.9160465
South West,Semi Detached,374000,1800,2024,5.2,15,B,No,Upsizer,207.78,"£1,895.64","£250,792.76","£568,692.76",317900,720.9014439,,3,720.9160428
South West,Semi Detached,385000,1850,2024,5.2,15,B,No,Upsizer,208.11,"£1,951.40","£258,169.02","£585,419.02",327250,740.9014416,,3,740.9160173
South East,Semi Detached,455000,2180,2023,6,15,B,No,Upsizer,208.72,"£2,491.84","£360,800.70","£747,550.70",386750,872.9014374,,3,872.9159707
South East,Semi Detached,428000,2050,2024,5.3,15,B,No,Upsizer,208.78,"£2,190.81","£293,442.39","£657,242.39",363800,820.9014369,,3,820.9159657
West Midlands,Semi Detached,355000,1700,2024,5.3,18,B,No,Upsizer,208.82,"£1,753.01","£234,802.30","£525,902.30",291100,680.9014366,,3,680.9159624
South West,Semi Detached,372000,1780,2024,5.3,15,B,No,Upsizer,208.99,"£1,904.16","£255,048.05","£571,248.05",316200,712.9014355,,3,712.9159498
Yorkshire,Detached,462000,2210,2024,5.4,20,B,Yes,Upsizer,209.05,"£2,247.65","£304,694.45","£674,294.45",369600,884.9014351,,3,884.9159452
Yorkshire,Detached,460000,2200,2024,5.4,20,B,Yes,Upsizer,209.09,"£2,237.92","£303,375.43","£671,375.43",368000,880.9014348,,3,880.915942
East of England,Semi Detached,435000,2080,2024,5.2,15,B,No,Upsizer,209.13,"£2,204.82","£291,697.46","£661,447.46",369750,832.9014345,,3,832.9159387
South East,Semi Detached,450000,2150,2024,5.3,15,B,No,Upsizer,209.30,"£2,303.42","£308,525.87","£691,025.87",382500,860.9014333,,3,860.9159259
South East,Semi Detached,450000,2150,2024,5.3,15,D,No,Upsizer,209.30,"£2,303.42","£308,525.87","£691,025.87",382500,860.3014333,,1,860.3159259
East of England,Semi Detached,440000,2100,2024,5.2,15,B,No,Upsizer,209.52,"£2,230.17","£295,050.30","£669,050.30",374000,840.9014318,,3,840.9159091
East of England,Semi Detached,415000,1980,2023,6.1,15,B,No,Upsizer,209.60,"£2,294.38","£335,565.44","£688,315.44",352750,792.9014313,,3,792.9159036
East of England,Semi Detached,430000,2050,2024,5.2,15,B,No,Upsizer,209.76,"£2,179.48","£288,344.62","£653,844.62",365500,820.9014302,,3,820.9158915
East of England,Semi Detached,420000,2000,2024,5.2,15,B,No,Upsizer,210.00,"£2,128.80","£281,638.93","£638,638.93",357000,800.9014286,,3,800.915873
East of England,Semi Detached,410000,1950,2024,5.2,15,B,No,Upsizer,210.26,"£2,078.11","£274,933.24","£623,433.24",348500,780.9014268,,3,780.9158537
South West,Semi Detached,390000,1850,2024,5.2,15,B,No,Upsizer,210.81,"£1,976.74","£261,521.86","£593,021.86",331500,740.9014231,,3,740.915812
Yorkshire,Detached,455000,2150,2024,5.4,20,B,Yes,Upsizer,211.63,"£2,213.59","£300,077.87","£664,077.87",364000,860.9014176,,3,860.9157509
East of England,Semi Detached,400000,1890,2024,5.3,15,B,No,Upsizer,211.64,"£2,047.48","£274,245.22","£614,245.22",340000,756.9014175,,3,756.91575
South East,Semi Detached,445000,2100,2024,5.3,15,B,No,Upsizer,211.90,"£2,277.83","£305,097.81","£683,347.81",378250,840.9014157,,3,840.9157303
East of England,Semi Detached,405000,1910,2024,5.3,15,B,No,Upsizer,212.04,"£2,073.08","£277,673.29","£621,923.29",344250,764.9014148,,3,764.9157202
Yorkshire,Detached,435000,2050,2024,5.4,20,B,Yes,Upsizer,212.20,"£2,116.29","£286,887.63","£634,887.63",348000,820.9014138,,3,820.9157088
South West,Semi Detached,368000,1730,2023,6.1,15,B,No,Upsizer,212.72,"£2,034.54","£297,561.65","£610,361.65",312800,692.9014103,,3,692.9156703
South West,Semi Detached,400000,1880,2023,6.1,15,B,No,Upsizer,212.77,"£2,211.46","£323,436.57","£663,436.57",340000,752.90141,,3,752.9156667
East of England,Detached,330000,1550,2024,5.1,20,B,Yes,Investor,212.90,"£1,558.74","£203,621.41","£467,621.41",264000,620.9014091,,3,620.9156566
East Midlands,Semi Detached,345000,1620,2024,5.4,14,C,No,Upsizer,212.96,"£1,804.32","£244,596.44","£541,296.44",296700,648.6014087,,2,648.6156522
South West,Semi Detached,405000,1900,2024,5.2,15,B,No,Upsizer,213.16,"£2,052.77","£271,580.39","£615,830.39",344250,760.9014074,,3,760.9156379
South East,Semi Detached,423000,1980,2023,6,12,B,No,Upsizer,213.64,"£2,398.35","£347,264.26","£719,504.26",372240,792.9014043,,3,792.9156028
South West,Semi Detached,375000,1750,2024,5.2,15,B,No,Upsizer,214.29,"£1,900.71","£251,463.33","£570,213.33",318750,700.9014,,3,700.9155556
Yorkshire,Detached,450000,2100,2024,5.4,20,B,Yes,Upsizer,214.29,"£2,189.27","£296,780.31","£656,780.31",360000,840.9014,,3,840.9155556
East of England,Semi Detached,420000,1950,2024,5.2,15,B,No,Upsizer,215.38,"£2,128.80","£281,638.93","£638,638.93",357000,780.9013929,,3,780.9154762
Yorkshire,Detached,432000,2000,2024,5.4,20,B,Yes,Upsizer,216.00,"£2,101.70","£284,909.10","£630,509.10",345600,800.9013889,,3,800.9154321
East of England,Semi Detached,430000,1980,2023,6.1,15,B,No,Upsizer,217.17,"£2,377.31","£347,694.31","£713,194.31",365500,792.9013814,,3,792.9153488
East of England,Semi Detached,398000,1830,2023,6.1,15,B,No,Upsizer,217.49,"£2,200.40","£321,819.39","£660,119.39",338300,732.9013794,,3,732.9153266
East Midlands,Semi Detached,355000,1620,2024,5.4,14,C,No,Upsizer,219.14,"£1,856.62","£251,686.19","£556,986.19",305300,648.601369,,2,648.6152113
London,Terraced,670000,3050,2024,5.1,15,B,No,Upsizer,219.67,"£3,362.50","£439,251.49","£1,008,751.49",569500,1220.901366,,3,1220.915174
East of England,Semi Detached,440000,2000,2024,5.2,15,B,No,Upsizer,220.00,"£2,230.17","£295,050.30","£669,050.30",374000,800.9013636,,3,800.9151515
London,Terraced,660000,3000,2024,5.1,15,B,No,Upsizer,220.00,"£3,312.32","£432,695.49","£993,695.49",561000,1200.901364,,3,1200.915152
London,Terraced,650000,2950,2024,5.1,15,B,No,Upsizer,220.34,"£3,262.13","£426,139.50","£978,639.50",552500,1180.901362,,3,1180.915128
Yorkshire,Detached,430000,1950,2024,5.4,20,B,Yes,Upsizer,220.51,"£2,091.97","£283,590.07","£627,590.07",344000,780.9013605,,3,780.9151163
London,Terraced,675000,3060,2024,5.1,15,B,No,Upsizer,220.59,"£3,387.60","£442,529.48","£1,016,279.48",573750,1224.90136,,3,1224.915111
Yorkshire,Detached,428000,1900,2024,5.4,20,B,Yes,Upsizer,225.26,"£2,082.24","£282,271.05","£624,671.05",342400,760.9013318,,3,760.9147975
South West,Detached,330000,1450,2024,5.1,20,B,Yes,Investor,227.59,"£1,558.74","£203,621.41","£467,621.41",264000,580.9013182,,3,580.9146465
Yorkshire,Detached,425000,1850,2024,5.4,20,B,Yes,Upsizer,229.73,"£2,067.64","£280,292.52","£620,292.52",340000,740.9013059,,3,740.9145098
London,Terraced,640000,2750,2024,5.1,15,B,No,Upsizer,232.73,"£3,211.95","£419,583.51","£963,583.51",544000,1100.901289,,3,1100.914323
London,Terraced,620000,2650,2024,5.1,15,B,No,Upsizer,233.96,"£3,111.57","£406,471.52","£933,471.52",527000,1060.901282,,3,1060.914247
London,Terraced,610000,2600,2024,5.1,15,B,No,Upsizer,234.62,"£3,061.39","£399,915.53","£918,415.53",518500,1040.901279,,3,1040.914208
London,Terraced,635000,2700,2024,5.1,15,B,No,Upsizer,235.19,"£3,186.85","£416,305.51","£956,055.51",539750,1080.901276,,3,1080.914173
London,Terraced,600000,2550,2023,6.1,15,B,No,Upsizer,235.29,"£3,317.18","£485,154.86","£995,154.86",510000,1020.901275,,3,1020.914167
London,Terraced,630000,2650,2024,5.1,15,B,No,Upsizer,237.74,"£3,161.76","£413,027.52","£948,527.52",535500,1060.901262,,3,1060.914021
London,Terraced,585000,2460,2023,6.1,15,B,No,Upsizer,237.80,"£3,234.25","£473,025.99","£970,275.99",497250,984.9012615,,3,984.9140171
London,Terraced,580000,2430,2024,5.1,15,B,No,Upsizer,238.68,"£2,910.83","£380,247.56","£873,247.56",493000,972.9012569,,3,972.9139655
London,Terraced,575000,2400,2023,6,15,B,No,Upsizer,239.58,"£3,149.02","£455,956.93","£944,706.93",488750,960.9012522,,3,960.913913
London,Terraced,625000,2600,2024,5.1,15,B,No,Upsizer,240.38,"£3,136.67","£409,749.52","£940,999.52",531250,1040.901248,,3,1040.913867
London,Terraced,570000,2350,2024,5.1,15,B,No,Upsizer,242.55,"£2,860.64","£373,691.56","£858,191.56",484500,940.9012368,,3,940.9137427
London,Terraced,560000,2300,2024,5.1,15,B,No,Upsizer,243.48,"£2,810.45","£367,135.57","£843,135.57",476000,920.9012321,,3,920.9136905
London,Terraced,565000,2320,2023,6.1,15,B,No,Upsizer,243.53,"£3,123.68","£456,854.16","£937,104.16",480250,928.9012319,,3,928.9136873
Yorkshire,Detached,415000,1700,2024,5.4,20,B,Yes,Upsizer,244.12,"£2,018.99","£273,697.40","£605,697.40",332000,680.9012289,,3,680.9136546
London,Terraced,605000,2450,2024,5.1,15,B,No,Upsizer,246.94,"£3,036.29","£396,637.54","£910,887.54",514250,980.9012149,,3,980.9134986
London,Terraced,575000,2320,2023,6.1,15,B,No,Upsizer,247.84,"£3,178.97","£464,940.07","£953,690.07",488750,928.9012104,,3,928.9134493
London,Terraced,595000,2400,2024,5.1,15,B,No,Upsizer,247.92,"£2,986.11","£390,081.54","£895,831.54",505750,960.9012101,,3,960.9134454
South East,Flat,298000,1200,2024,5.4,12,C,No,First Timer,248.33,"£1,594.76","£216,187.97","£478,427.97",262240,480.6012081,,2,480.6134228
Yorkshire,Detached,410000,1650,2024,5.4,20,B,Yes,Upsizer,248.48,"£1,994.67","£270,399.84","£598,399.84",328000,660.9012073,,3,660.9134146
London,Terraced,585000,2350,2024,5.1,15,B,No,Upsizer,248.94,"£2,935.92","£383,525.55","£880,775.55",497250,940.9012051,,3,940.9133903
South East,Detached,685000,2750,2024,5.3,22,A,Yes,Investor,249.09,"£3,217.56","£430,968.30","£965,268.30",534300,1101.201204,,4,1101.213382
London,Terraced,556000,2230,2024,5.2,15,B,No,Upsizer,249.33,"£2,818.12","£372,836.29","£845,436.29",472600,892.9012032,,3,892.9133693
North East,Terraced,225000,900,2024,5.4,6,D,No,First Timer,250.00,"£1,286.19","£174,358.43","£385,858.43",211500,360.3012,,1,360.3133333
South East,Detached,690000,2760,2024,5.3,22,A,Yes,Investor,250.00,"£3,241.05","£434,114.05","£972,314.05",538200,1105.2012,,4,1105.213333
London,Terraced,552000,2200,2023,6,15,B,No,Upsizer,250.91,"£3,023.06","£437,718.65","£906,918.65",469200,880.9011957,,3,880.913285
London,Terraced,565000,2250,2024,5.1,15,B,No,Upsizer,251.11,"£2,835.55","£370,413.57","£850,663.57",480250,900.9011947,,3,900.9132743
London,Terraced,548000,2180,2024,5,15,B,No,Upsizer,251.38,"£2,723.02","£351,106.12","£816,906.12",465800,872.9011934,,3,872.9132603
South East,Detached,680000,2700,2024,5.3,22,A,Yes,Investor,251.85,"£3,194.08","£427,822.54","£958,222.54",530400,1081.201191,,4,1081.213235
London,Terraced,580000,2300,2024,5.1,15,B,No,Upsizer,252.17,"£2,910.83","£380,247.56","£873,247.56",493000,920.9011897,,3,920.9132184
Yorkshire,Detached,405000,1600,2024,5.4,20,B,Yes,Upsizer,253.13,"£1,970.34","£267,102.28","£591,102.28",324000,640.9011852,,3,640.9131687
South East,Detached,675000,2650,2024,5.3,22,A,Yes,Investor,254.72,"£3,170.59","£424,676.79","£951,176.79",526500,1061.201178,,4,1061.213086
North East,Flat,190000,740,2024,5.4,8,D,No,First Timer,256.76,"£1,063.01","£144,103.33","£318,903.33",174800,296.3011684,,1,296.3129825
Yorkshire,Detached,400000,1550,2024,5.4,20,D,Yes,Upsizer,258.06,"£1,946.02","£263,804.72","£583,804.72",320000,620.3011625,,1,620.3129167
Yorkshire,Detached,440000,1700,2023,6.2,20,B,Yes,Investor,258.82,"£2,311.17","£341,350.69","£693,350.69",352000,680.9011591,,3,680.9128788
Yorkshire,Detached,430000,1650,2023,6.2,20,B,Yes,Investor,260.61,"£2,258.64","£333,592.72","£677,592.72",344000,660.9011512,,3,660.9127907
West Midlands,Detached,550000,2100,2024,5.2,20,B,Yes,Investor,261.90,"£2,623.73","£347,118.00","£787,118.00",440000,840.9011455,,3,840.9127273
West Midlands,Detached,552000,2105,2024,5.2,20,B,Yes,Investor,262.23,"£2,633.27","£348,380.25","£789,980.25",441600,842.901144,,3,842.9127114
North West,Detached,420000,1600,2024,5.3,18,C,Yes,Investor,262.50,"£2,073.98","£277,794.28","£622,194.28",344400,640.6011429,,2,640.6126984
Yorkshire,Detached,420000,1600,2023,6.2,20,B,Yes,Upsizer,262.50,"£2,206.12","£325,834.75","£661,834.75",336000,640.9011429,,3,640.9126984
Yorkshire,Detached,395000,1500,2024,5.4,20,B,Yes,Upsizer,263.33,"£1,921.69","£260,507.16","£576,507.16",316000,600.9011392,,3,600.9126582
West Midlands,Detached,545000,2050,2024,5.2,20,B,Yes,Investor,265.85,"£2,599.87","£343,962.39","£779,962.39",436000,820.9011284,,3,820.9125382
Yorkshire,Detached,405000,1520,2023,6.2,20,B,Yes,Investor,266.45,"£2,127.33","£314,197.80","£638,197.80",324000,608.9011259,,3,608.9125103
Yorkshire,Detached,400000,1500,2024,5.4,20,B,Yes,Investor,266.67,"£1,946.02","£263,804.72","£583,804.72",320000,600.901125,,3,600.9125
Yorkshire,Detached,395000,1480,2023,6.2,20,B,Yes,Upsizer,266.89,"£2,074.80","£306,439.83","£622,439.83",316000,592.9011241,,3,592.9124895
Yorkshire,Detached,390000,1450,2024,5.4,20,B,Yes,Investor,268.97,"£1,897.37","£257,209.60","£569,209.60",312000,580.9011154,,3,580.9123932
North West,Detached,405000,1500,2023,6.3,18,C,Yes,Investor,270.00,"£2,201.04","£328,211.23","£660,311.23",332100,600.6011111,,2,600.6123457
West Midlands,Detached,540000,2000,2024,5.2,20,B,Yes,Investor,270.00,"£2,576.02","£340,806.77","£772,806.77",432000,800.9011111,,3,800.9123457
North East,Flat,200000,740,2024,5.4,8,D,No,First Timer,270.27,"£1,118.96","£151,687.71","£335,687.71",184000,296.30111,,1,296.3123333
Yorkshire,Detached,385000,1420,2023,6.2,20,B,Yes,Investor,271.13,"£2,022.27","£298,681.86","£606,681.86",308000,568.9011065,,3,568.9122944
Yorkshire,Detached,380000,1400,2024,5.4,20,B,Yes,Upsizer,271.43,"£1,848.71","£250,614.48","£554,614.48",304000,560.9011053,,3,560.9122807
West Midlands,Detached,530000,1950,2024,5.2,20,B,Yes,Investor,271.79,"£2,528.32","£334,495.53","£758,495.53",424000,780.9011038,,3,780.9122642
North West,Detached,398000,1460,2024,5.3,18,C,Yes,Investor,272.60,"£1,965.34","£263,243.15","£589,603.15",326360,584.6011005,,2,584.6122278
Yorkshire,Detached,374000,1360,2024,5.4,20,B,Yes,Investor,275.00,"£1,819.52","£246,657.41","£545,857.41",299200,544.9010909,,3,544.9121212
West Midlands,Detached,525000,1900,2024,5.2,20,B,Yes,Investor,276.32,"£2,504.47","£331,339.91","£751,339.91",420000,760.9010857,,3,760.9120635
North East,Detached,310000,1120,2023,6.6,25,B,Yes,Investor,276.79,"£1,584.42","£242,824.70","£475,324.70",232500,448.9010839,,3,448.912043
South West,Detached,410000,1480,2024,5.1,20,B,Yes,Investor,277.03,"£1,936.61","£252,984.17","£580,984.17",328000,592.9010829,,3,592.9120325
